総合危険度ランク,火災危険度ランク,建物倒壊危険度ランク,災害時活動困難度ランク,町丁目名
1,1,1,2,580
2,2,2,1,581
1,3,3,1,582
1,2,3,1,583
1,1,3,1,584
1,2,3,1,585
1,3,5,1,586
1,4,4,1,587
1,1,1,1,588
1,1,2,1,589
1,2,3,1,590
1,2,3,1,591
1,4,5,1,592
1,3,4,1,593
1,2,3,1,594
1,2,3,1,595
1,2,3,1,596
1,3,4,1,597
1,1,3,1,598
1,1,3,1,599
2,2,3,1,600
2,4,5,1,601
1,2,4,1,602
1,3,3,1,603
1,3,5,1,604
2,4,5,1,605
3,4,5,1,606
1,2,3,1,607
1,2,3,1,608
2,4,5,1,609
1,2,3,1,610
2,4,5,1,611
1,2,4,1,612
1,1,3,1,613
1,3,4,1,614
1,3,3,1,615
1,5,5,1,616
1,5,5,1,617
3,2,3,2,618
2,2,3,2,619
3,3,3,2,620
5,5,4,2,621
3,3,4,1,622
3,4,5,1,623
3,4,5,1,624
1,2,3,1,625
2,2,4,1,626
1,4,4,1,627
1,5,5,1,628
1,2,3,1,629
1,2,3,1,630
1,3,5,1,631
1,1,3,1,632
1,2,4,1,633
1,2,3,1,634
1,2,3,1,635
1,3,4,1,636
1,3,4,1,637
1,3,4,1,638
1,2,4,1,639
1,2,4,1,640
1,3,4,1,641
1,3,4,1,642
1,2,3,1,643
1,2,4,1,644
1,2,3,1,645
2,3,4,1,646
3,3,3,2,647
3,4,3,1,648
5,5,4,3,649
3,2,2,3,650
3,3,2,3,651
3,2,3,2,652
3,2,2,3,653
1,2,3,1,654
1,2,3,1,655
1,2,4,1,656
1,3,3,1,657
1,4,5,1,658
1,2,3,1,659
1,2,3,1,660
1,1,3,1,661
1,2,4,1,662
1,2,4,1,663
1,2,4,1,664
1,2,3,1,665
1,3,3,1,666
4,4,4,2,667
5,5,5,2,668
1,2,3,1,669
1,2,3,1,670
1,2,3,1,671
1,2,3,1,672
1,3,4,1,673
2,3,4,1,674
1,2,3,1,675
4,4,4,2,676
5,5,5,2,677
5,5,5,1,678
1,1,2,1,679
2,2,3,1,680
1,1,3,1,681
1,1,2,1,682
1,1,3,1,683
1,1,3,1,684
1,1,2,1,685
1,1,2,1,686
1,1,3,1,687
3,3,3,2,688
5,4,5,3,689
5,5,5,3,690
5,5,5,2,691
5,5,4,3,692
1,2,3,1,693
1,3,4,1,694
1,2,3,1,695
1,2,3,1,696
3,3,3,2,697
5,5,5,3,698
3,3,4,1,699
3,3,4,1,700
2,2,3,1,701
3,3,3,2,702
1,2,4,1,703
1,2,4,1,704
1,2,3,1,705
1,2,4,1,706
1,1,3,1,707
1,2,3,1,708
1,2,4,1,709
2,2,3,2,710
1,1,1,2,711
2,2,3,1,712
1,2,4,1,713
1,2,3,1,714
1,3,4,1,715
1,2,3,1,716
2,2,4,1,717
1,3,5,1,718
1,3,5,1,719
1,2,3,1,720
1,1,2,1,721
2,2,3,1,722
2,2,3,1,723
5,5,5,2,724
4,4,5,2,725
4,3,4,2,726
4,4,4,2,727
4,5,5,1,728
5,5,5,2,729
3,3,3,2,730
3,2,3,1,731
3,3,4,1,732
1,2,4,1,733
1,3,4,1,734
1,2,4,1,735
1,2,4,1,736
1,2,4,1,737
1,2,3,1,738
1,2,3,1,739
1,2,3,1,740
1,2,4,1,741
1,2,4,1,742
1,2,4,1,743
4,5,5,2,744
3,4,5,1,745
4,4,5,2,746
4,5,4,2,747
5,5,5,3,748
5,5,5,2,749
4,4,4,2,750
4,3,4,2,751
1,1,1,1,752
2,1,2,1,753
2,2,2,1,754
2,3,5,1,755
1,2,4,1,756
2,2,4,1,757
2,1,2,2,758
1,2,3,1,759
1,2,3,1,760
1,2,3,1,761
1,2,3,1,762
1,1,1,1,763
1,1,1,1,764
1,1,1,1,765
1,1,1,1,766
1,3,4,1,767
2,3,4,1,768
2,2,3,1,769
1,3,4,1,770
2,1,2,1,771
1,1,1,1,772
1,1,1,1,773
1,1,1,1,774
2,2,2,1,775
1,1,1,1,776
2,2,3,1,777
1,2,4,1,778
1,2,3,1,779
3,3,3,2,780
4,4,4,3,781
4,3,4,3,782
3,3,3,2,783
3,3,4,1,784
3,3,3,1,785
5,5,4,3,786
3,3,4,2,787
1,1,1,1,788
1,1,2,1,789
1,1,2,1,790
3,4,4,1,791
2,3,4,1,792
5,5,4,2,793
1,2,3,1,794
3,3,3,1,795
3,4,4,2,796
3,2,3,4,797
2,2,3,1,798
3,2,2,2,799
5,5,5,3,800
5,5,5,4,801
4,4,3,2,802
5,5,5,2,803
3,4,3,2,804
1,1,1,1,805
1,1,2,1,806
1,1,2,1,807
1,1,1,1,808
1,2,2,1,809
1,2,3,1,810
1,1,2,1,811
2,2,3,1,812
1,2,4,1,813
1,1,3,1,814
1,1,2,1,815
1,2,3,1,816
1,2,3,1,817
1,1,1,1,818
1,1,1,1,819
1,1,1,1,820
1,1,1,1,821
1,1,1,1,822
1,1,1,1,823
2,2,3,1,824
1,4,4,1,825
2,3,4,1,826
1,1,2,1,827
1,1,3,1,828
1,3,4,1,829
1,2,4,1,830
1,1,1,1,831
1,1,1,1,832
1,1,1,1,833
1,1,1,1,834
1,1,1,1,835
1,1,1,1,836
1,1,1,2,837
1,2,3,1,838
2,3,4,1,839
1,1,2,1,840
2,2,3,1,841
2,2,2,2,842
1,2,4,1,843
2,3,4,1,844
1,1,1,2,845
1,1,1,1,846
1,1,1,1,847
3,3,4,1,848
1,1,1,1,849
1,2,3,1,850
1,1,1,1,851
2,2,3,1,852
1,1,1,1,853
1,1,1,1,854
1,2,4,1,855
1,2,5,1,856
2,2,3,1,857
1,1,2,1,858
1,1,1,1,859
1,1,1,1,860
1,1,1,1,861
1,1,1,1,862
1,1,1,1,863
1,1,1,1,864
3,2,2,3,865
2,2,2,1,866
4,3,3,2,867
4,5,4,2,868
4,4,5,2,869
2,2,3,1,870
2,3,3,1,871
1,2,3,1,872
1,3,4,1,873
2,2,3,1,874
1,1,2,1,875
1,1,2,1,876
2,2,2,1,877
2,2,3,1,878
1,3,5,1,879
1,1,2,1,880
1,1,2,1,881
1,3,4,1,882
1,2,3,1,883
2,2,3,1,884
2,2,4,1,885
1,2,3,1,886
1,3,4,1,887
1,1,2,1,888
2,1,2,1,889
2,1,2,2,890
3,4,4,1,891
3,2,3,2,892
2,2,3,1,893
2,2,2,1,894
1,4,4,1,895
1,4,5,1,896
1,2,4,1,897
1,2,3,1,898
2,2,3,1,899
1,1,2,1,900
1,2,4,1,901
1,3,4,1,902
2,2,3,1,903
2,3,4,1,904
2,3,4,1,905
1,2,3,1,906
1,2,3,1,907
1,1,1,1,908
1,1,1,1,909
1,1,1,2,910
1,1,1,1,911
1,1,1,1,912
1,1,1,1,913
1,1,1,1,914
